symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Mks1	188.15144120017592	0.031126308867428044	0.057727897993867405	0.18018696450002486	0.48444121042255284
Fiz1	1722.2616345954723	-0.032115097684024395	0.03354140929820335	0.18030411989567036	0.4846433755631819
Tmem143	419.1010682616326	-0.03229797368390722	0.04693847923635225	0.18070330574587523	0.48515183202344464
Slx1b	412.23323255600945	0.032257342155474274	0.047373891721207366	0.18065837847840935	0.48515183202344464
Casp4	146.90469526576092	-0.030648891338146356	0.0611556208170173	0.1806803541514764	0.48515183202344464
Rbm15b	3437.8691964995587	-0.029455968046787805	0.027143204276987593	0.18067510807627926	0.48515183202344464
Zfp799	389.1344780791497	-0.0322479501672994	0.047542034941651275	0.18056879213736304	0.48515183202344464
Wnk1	17813.363565939027	0.031467214364590025	0.031471375006273186	0.18078987524047446	0.4852714522490077
Pfdn2	2482.7776369215117	-0.030938657061100085	0.0301373170102065	0.18099112686217397	0.48527526310553554
Tmod4	41.80496628135957	0.026513283840027376	0.08044917040672349	0.1810106125840088	0.48527526310553554
Zfc3h1	5748.2852536967475	0.03249622368573397	0.044507372576919904	0.1810433860365154	0.48527526310553554
Rhbdl3	66.0287634368191	0.02838268157890068	0.07387253872388135	0.18101861676329858	0.48527526310553554
Ly6m	28.569616785208208	-0.024679842203404693	0.08579742216867042	0.18095273790828242	0.48527526310553554
Adnp2	1749.423503432456	-0.032063972973186	0.03355582958702587	0.1810263025089547	0.48527526310553554
Tceanc2	1018.5202347405817	-0.03259121853460144	0.0367498915342154	0.18109031066416237	0.48528841952925184
Klhdc10	2166.4644100269993	0.03085666558810526	0.029991881491180775	0.18127315524473087	0.48566572560348914
Imp3	2901.084230207368	-0.03079311370285893	0.029886480098183843	0.1815265399370031	0.48623180340268685
Ska3	1698.0959563551467	0.031751904701000574	0.03257186145499253	0.18170217853167395	0.4865894185116703
Rsrp1	8420.683341407195	0.029245408157852155	0.06936708457192771	0.18192944214795417	0.486859373681388
Chchd6	469.7454496936378	-0.032369261755447354	0.04509066283456609	0.1819157092386207	0.486859373681388
Ube2b	3968.6179162350813	0.030407208155927044	0.029089072623168895	0.18184595802040662	0.486859373681388
Sp3	4330.503134151618	-0.03103459290724641	0.030553314220128115	0.18202666597511202	0.48700671577774934
Zfp408	1006.3510626839785	0.03250944430435578	0.03680988105018151	0.18220353468767422	0.48736702770788265
Pcyox1	1410.2083336263736	-0.03186825504491157	0.03314862735363586	0.18227268170630337	0.4873874672062427
Naca	17636.463051125185	-0.026884905220966333	0.023498521683702873	0.18233777019897618	0.4873874672062427
